No.,Time,Source,Destination,Protocol,Length,Info
188,364.864210,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
189,365.909587,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
190,366.396175,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
191,367.957360,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
192,368.534573,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
193,368.952528,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
194,369.588219,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
195,370.285610,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
196,370.605012,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
197,372.128157,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
198,372.770844,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
199,373.366411,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
200,374.441883,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
201,374.792924,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
202,376.326877,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
203,377.964731,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
204,378.294029,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
205,379.604595,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
206,380.170980,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
207,380.500281,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
208,380.887728,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
209,382.612953,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
210,383.631562,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
211,384.686625,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
212,386.271710,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
213,387.312166,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
214,387.944161,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
215,388.630205,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
216,390.191178,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
217,391.931187,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
218,392.477177,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
219,394.158213,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
220,395.615602,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
221,397.320801,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
222,397.741734,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
223,398.254300,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
224,398.770833,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
225,400.230452,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
226,401.514238,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
227,402.013847,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
228,402.601173,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
